id,name,created_at,advertisers_entities.id,entities.short_name,entities.is_active,entities.is_political,countries.name,countries.alpha2,advertisers_platforms.advertiser_platform_ref,advertisers_platforms.advertiser_platform_name,platforms.name
f3147617-2a07-436d-a972-93def2e829eb,State Building and Construction Trades Council of California,2022-09-07T15:41:43.530Z,93e6607e-0c99-41c8-a383-cc255bc0fd11,Non,true,false,United States of America,us,144977758920758,State Building and Construction Trades Council of California,Facebook
f31760f5-a422-46da-8316-291090ae5233,United Way of Berks County,2022-09-06T20:05:34.333Z,0027d4ff-1867-441f-85b7-6388cf1d5baa,Non,true,false,United States of America,us,116548851749761,United Way of Berks County,Facebook
f3277571-555a-44b5-8e91-d6be3fa30505,Whisky Democrat,2022-09-07T15:42:00.368Z,bce4c896-caeb-467d-8dde-9f146689d974,Non,true,false,United States of America,us,486463538117573,Whisky Democrat,Facebook
f3368cf3-4f53-46fb-8d37-501f9b679835,The Joint Chiropractic,2022-09-06T20:28:36.109Z,31773909-b736-446b-927c-05ef8948f0c2,Non,true,false,United States of America,us,101132562613781,The Joint Chiropractic,Facebook
f33dcff4-69f6-4bad-ad02-30b5bd5aaa3f,elysia_of_the_knight,2022-09-07T15:41:58.274Z,c0e3260d-67f4-4cfc-bca1-b73885566d9a,Non,true,false,United States of America,us,101475639370408,elysia_of_the_knight,Facebook
f358195d-172c-46d7-bbc4-6586b070da29,Wyoming Department of Family Services,2022-09-07T15:41:51.552Z,72fa3baf-6186-477e-b40c-fcfe1aee18ae,Non,true,false,United States of America,us,259853147463209,Wyoming Department of Family Services,Facebook
f3672812-99d6-4b7a-ab89-9a4412ed9816,Free Country Heritage,2022-09-06T20:28:39.190Z,5e70b05e-cebf-43e8-8cdb-5653184dd213,Non,true,false,United States of America,us,106575991953149,Free Country Heritage,Facebook
f37cb958-24b8-4977-b556-fba08c5054dd,The GhostLight Lounge,2022-10-01T12:36:25.726Z,866c8816-1058-4e12-b051-2f17d20ffec2,Non,true,false,United States of America,us,109928337981551,The GhostLight Lounge,Facebook
f37cc1d5-e5af-4916-9f99-ac43966e953d,stephangoss_,2022-11-26T22:14:11.077Z,5d53f7bb-e492-4d54-a56c-ad9280bac1fa,Non,true,false,United States of America,us,107328112174445,stephangoss_,Facebook
f381639a-a299-4a93-b385-07b53ff421bb,DSEA Advocacy Fund for Children and Public Education,2022-09-05T10:11:17.840Z,3c58885f-4a1a-4de4-8ad0-5cf22b827d6a,Non,true,false,United States of America,us,103918519082442,DSEA Advocacy Fund for Children and Public Education,Facebook
f3a5e08a-4e80-4730-b97d-ad7c8060aaa6,Isle of Palms Cleanup Crew,2022-10-01T12:36:25.245Z,3ec5a46b-fe22-4956-8457-58b9edb474af,Non,true,false,United States of America,us,877678742418415,Isle of Palms Cleanup Crew,Facebook
f3a5ff98-93a4-4d5a-8656-a917afa84478,KIL NYC,2022-09-07T15:41:55.763Z,7e8d2f0f-e491-452f-a911-919419c7b9aa,Non,true,false,United States of America,us,259884754677495,KIL NYC,Facebook
f3b29148-9aed-4b7c-a288-aef7f7c41f18,Las Madrinas de los Seguros,2022-11-05T14:36:07.265Z,3f7ce584-d243-47f4-a7e3-7ba065750064,Non,true,false,United States of America,us,1747038068858379,Las Madrinas de los Seguros,Facebook
f3b99b3d-32cc-4209-a172-d019f71d6817,Stop Pebble Mine,2022-09-05T10:11:19.165Z,0e1945ac-7114-4813-8d4f-4a58252adcac,Non,true,false,United States of America,us,108854430811842,Stop Pebble Mine,Facebook
f3be1b40-a969-418e-b181-23addb790b1a,Estiinn,2022-09-07T15:41:58.126Z,5a987298-0d72-4f8a-addd-ef935005cf9b,Non,true,false,United States of America,us,162192017898444,Estiinn,Facebook
f3bf210c-ebe7-4022-9fd4-878f2859daa7,Arkansas Economic Development Commission,2022-09-06T20:05:15.248Z,ecb3c64d-12a6-4882-8c37-41b9df17fa13,Non,true,false,United States of America,us,186312424747886,Arkansas Economic Development Commission,Facebook
f3ed2742-af6c-4875-8102-1db3e461bbbe,Erin Hernandez-Reisner,2022-11-26T22:14:10.799Z,7ad85851-3d31-450d-bece-8c5284b09ba8,Non,true,false,United States of America,us,395285321066250,Erin Hernandez-Reisner,Facebook
f3eea909-fe12-4f83-a337-64c48f3d3d78,Idaho Conservation League,2022-09-06T20:05:05.535Z,a349db14-dda3-4a8a-8b02-678626ac677e,Non,true,false,United States of America,us,46530484629,Idaho Conservation League,Facebook
f3f509aa-7b8e-49ee-b4ca-9ca5dc076aff,Boulder Library Champions,2022-09-06T20:05:33.652Z,5d0696b7-6e61-4164-9e08-684992562806,Non,true,false,United States of America,us,2401492003413901,Boulder Library Champions,Facebook
f415e455-8d8c-4aee-8eed-c82edff073d3,Healthcare Supply Chain Association,2022-09-06T20:05:35.201Z,7a578965-5588-4617-9636-160926e70246,Non,true,false,United States of America,us,878935975829857,Healthcare Supply Chain Association,Facebook
f45b0770-b813-4d97-8129-b098ac730a64,Juvenile Diabetes Cure Alliance- JDCA,2022-10-01T12:36:28.103Z,6380ef17-de54-4933-b33e-4e95b47e6270,Non,true,false,United States of America,us,180164878699226,Juvenile Diabetes Cure Alliance- JDCA,Facebook
f481770e-a6b5-4a78-a283-40e7cd5ddd6f,Moreno Valley Trade Center,2022-11-26T22:14:09.139Z,1fd7e8b8-fec8-432f-b19c-15066ecfbc15,Non,true,false,United States of America,us,104878135740644,Moreno Valley Trade Center,Facebook
f4885e82-d20a-42f4-bff3-246618f9982d,NRDC,2022-09-05T10:11:15.740Z,21634aef-9459-4cab-be82-bfcf1a7927b3,Non,true,false,United States of America,us,11791104453,NRDC,Facebook
f48a1287-e95a-43cb-9617-6a06d2e2f2d0,Washington Times Opinion,2022-09-06T20:05:33.446Z,c285038a-0a0c-4bc8-a127-d1209b373bd2,Non,true,false,United States of America,us,503699929651019,Washington Times Opinion,Facebook
